model,question_type,sample_count,base_accuracy_vqa,base_accuracy_exact,number_accuracy_delta,neutral_accuracy_delta,moved_closer_to_anchor_rate,median_anchor_pull,neutral_changed_rate
gemma3-27b-it,how many,14740,0.6146313885119856,0.469674355495251,0.005766621438263229,-0.0018091361374943478,0.16119402985074627,0.0,0.24986431478968793
gemma3-27b-it,how many people are,1490,0.6852348993288591,0.5389261744966443,-0.00827740492170022,-0.04608501118568232,0.1604026845637584,0.0,0.287248322147651
gemma3-27b-it,how many people are in,635,0.6850393700787402,0.5433070866141733,0.03674540682414698,-0.03517060367454069,0.1921259842519685,0.0,0.33700787401574805
gemma3-27b-it,what number is,245,0.7891156462585034,0.7755102040816326,-0.02040816326530612,0.04353741496598639,0.17142857142857143,0.0,0.09795918367346938
gemma3-27b-it,what,235,0.7021276595744681,0.6382978723404256,-0.04822695035460993,-0.0425531914893617,0.15319148936170213,0.0,0.17446808510638298
gemma3-27b-it,what is the,155,0.8387096774193549,0.6774193548387096,-0.04946236559139785,0.030107526881720432,0.10967741935483871,0.0,0.07096774193548387
gemma3-27b-it,how,135,0.48148148148148145,0.25925925925925924,0.08888888888888889,0.07901234567901234,0.2,0.0,0.24444444444444444
gemma3-27b-it,none of the above,70,0.761904761904762,0.6428571428571429,-0.05238095238095238,-0.04761904761904762,0.12857142857142856,0.0,0.15714285714285714
gemma4-31b-it,how many,14740,0.737019448213478,0.5833107191316147,-0.005789235639981908,-0.01924468566259611,0.07685518365130016,0.0,0.1675157937640106
gemma4-31b-it,how many people are,1490,0.8134228187919463,0.6724832214765101,-0.005592841163310961,-0.0633109619686801,0.07583892617449664,0.0,0.19865771812080538
gemma4-31b-it,how many people are in,635,0.8677165354330708,0.7307086614173228,-0.03989501312335958,-0.15590551181102363,0.10236220472440945,0.0,0.29606299212598425
gemma4-31b-it,what number is,245,0.7823129251700681,0.7551020408163265,-0.03537414965986395,0.0,0.13333333333333333,0.0,0.029166666666666667
gemma4-31b-it,what,235,0.7872340425531915,0.7021276595744681,-0.04964539007092199,-0.0028368794326241145,0.1148936170212766,0.0,0.1574468085106383
gemma4-31b-it,what is the,155,0.8279569892473118,0.7741935483870968,-0.019354838709677424,0.015053763440860212,0.11333333333333333,0.0,0.03333333333333333
gemma4-31b-it,how,135,0.6790123456790124,0.48148148148148145,6.579099405186113e-18,0.002469135802469137,0.232,0.0,0.144
gemma4-31b-it,none of the above,70,0.5476190476190476,0.35714285714285715,0.05238095238095238,0.05714285714285714,0.15714285714285714,0.0,0.12857142857142856
gemma4-e4b,how many,14740,0.538715513342379,0.41112618724559025,-0.0007688828584350983,-0.03247399366802352,0.2407055630936228,0.0,0.44260515603799183
gemma4-e4b,how many people are,1490,0.5812080536912752,0.4563758389261745,-0.028859060402684558,-0.12013422818791947,0.2644295302013423,0.0,0.5577181208053691
gemma4-e4b,how many people are in,635,0.6246719160104987,0.48031496062992124,-0.16220472440944883,-0.2824146981627297,0.32755905511811023,0.0,0.7070866141732284
gemma4-e4b,what number is,245,0.761904761904762,0.7551020408163265,-0.07210884353741495,-0.00816326530612245,0.23673469387755103,0.0,0.07755102040816327
gemma4-e4b,what,235,0.7163120567375887,0.574468085106383,-0.09078014184397162,-0.06099290780141844,0.23404255319148937,0.0,0.30638297872340425
gemma4-e4b,what is the,155,0.7204301075268816,0.6451612903225806,-0.03225806451612903,0.07311827956989247,0.2,0.0,0.17419354838709677
gemma4-e4b,how,135,0.5555555555555556,0.4074074074074074,-0.05679012345679012,-0.05185185185185184,0.37777777777777777,0.0,0.4444444444444444
gemma4-e4b,none of the above,70,0.4761904761904761,0.42857142857142855,0.00476190476190477,-0.004761904761904761,0.4714285714285714,0.0,0.4142857142857143
llava-next-interleaved-7b,how many,14740,0.6067390321121665,0.45725915875169604,-0.03374038896426956,-0.03810492989597468,0.15366333944455762,0.0,0.24867581148988185
llava-next-interleaved-7b,how many people are,1490,0.6733780760626398,0.5503355704697986,-0.042281879194630875,-0.0668903803131991,0.14899328859060404,0.0,0.2791946308724832
llava-next-interleaved-7b,how many people are in,635,0.6981627296587927,0.5511811023622047,-0.05406824146981628,-0.11286089238845143,0.1763779527559055,0.0,0.36850393700787404
llava-next-interleaved-7b,what number is,245,0.9183673469387755,0.8775510204081632,-0.4054421768707483,-0.024489795918367346,0.47346938775510206,0.0,0.053061224489795916
llava-next-interleaved-7b,what,235,0.6453900709219859,0.5531914893617021,-0.16170212765957448,-0.05673758865248226,0.26495726495726496,0.0,0.11914893617021277
llava-next-interleaved-7b,what is the,155,0.6881720430107526,0.5483870967741935,-0.18494623655913978,0.00860215053763441,0.45161290322580644,0.0,0.05161290322580645
llava-next-interleaved-7b,how,135,0.4567901234567901,0.3333333333333333,0.01728395061728395,0.014814814814814815,0.17391304347826086,0.0,0.19130434782608696
llava-next-interleaved-7b,none of the above,70,0.4761904761904761,0.35714285714285715,-0.1,-0.09523809523809525,0.14516129032258066,0.0,0.22950819672131148
qwen2.5-vl-7b-instruct,how many,15,1.0,1.0,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
qwen3-vl-30b-it,how many,14740,0.7564450474898237,0.6078018995929444,-0.054025327905924916,-0.050361827227498865,0.1665422463522226,0.0,0.2655125594025798
qwen3-vl-30b-it,how many people are,1490,0.7463087248322148,0.6228187919463087,-0.021923937360178974,-0.038926174496644296,0.14563758389261744,0.0,0.2778523489932886
qwen3-vl-30b-it,how many people are in,635,0.7952755905511811,0.5905511811023622,-0.09501312335958005,-0.12703412073490813,0.17795275590551182,0.0,0.35118110236220473
qwen3-vl-30b-it,what number is,245,0.870748299319728,0.8571428571428571,-0.055782312925170066,0.02857142857142857,0.13877551020408163,0.0,0.04081632653061224
qwen3-vl-30b-it,what,235,0.7872340425531915,0.6808510638297872,-0.011347517730496455,-0.01843971631205674,0.10212765957446808,0.0,0.15319148936170213
qwen3-vl-30b-it,what is the,155,0.8279569892473118,0.6774193548387096,-0.06236559139784947,-0.03655913978494623,0.09210526315789473,0.0,0.10526315789473684
qwen3-vl-30b-it,how,135,0.7037037037037037,0.4444444444444444,-0.01728395061728395,-0.044444444444444446,0.1259259259259259,0.0,0.14814814814814814
qwen3-vl-30b-it,none of the above,70,0.7142857142857143,0.6428571428571429,-0.09523809523809523,-0.04761904761904762,0.2,0.0,0.14285714285714285
qwen3-vl-8b-instruct,how many,14740,0.7369289914066034,0.5886024423337857,-0.029963817277250115,-0.03566259611035731,0.09470827679782903,0.0,0.16709633649932157
qwen3-vl-8b-instruct,how many people are,1490,0.7968680089485459,0.663758389261745,-0.04429530201342282,-0.07829977628635346,0.11879194630872483,0.0,0.21006711409395973
qwen3-vl-8b-instruct,how many people are in,635,0.8661417322834646,0.7007874015748031,-0.08713910761154856,-0.12650918635170605,0.08661417322834646,0.0,0.2188976377952756
qwen3-vl-8b-instruct,what number is,245,0.9251700680272109,0.9183673469387755,-0.16462585034013608,-0.0054421768707483,0.2,0.0,0.02040816326530612
qwen3-vl-8b-instruct,what,235,0.8056737588652483,0.7361702127659574,-0.05531914893617021,-0.0397163120567376,0.13617021276595745,0.0,0.1276595744680851
qwen3-vl-8b-instruct,what is the,155,0.8817204301075269,0.8064516129032258,-0.12903225806451613,-0.019354838709677424,0.1870967741935484,0.0,0.05806451612903226
qwen3-vl-8b-instruct,how,135,0.7283950617283951,0.48148148148148145,-0.014814814814814814,0.004938271604938272,0.08148148148148149,0.0,0.05185185185185185
qwen3-vl-8b-instruct,none of the above,70,0.6285714285714286,0.4857142857142857,0.014285714285714285,0.014285714285714285,0.11428571428571428,0.0,0.21428571428571427
