model,condition_class,layer,n,mean_digit_over_anchor,mean_concentration_above_fair,std_digit_over_anchor
gemma4-e4b,a,0,400,0.6060064442747217,0.3791755957504162,0.2625263388017627
gemma4-e4b,a,1,400,0.6047197630485357,0.3778889145242302,0.2738574322508939
gemma4-e4b,a,2,400,0.5415725206467191,0.31474167212241355,0.31097335738731163
gemma4-e4b,a,3,400,0.5888410194537953,0.3620101709294898,0.34704636814387774
gemma4-e4b,a,4,400,0.558606558860033,0.3317757103357274,0.3257584746051742
gemma4-e4b,a,5,400,0.5753728199745176,0.3485419714502121,0.12385674770460495
gemma4-e4b,a,6,400,0.576132773834416,0.3493019253101104,0.26953455330237625
gemma4-e4b,a,7,400,0.6131691572047163,0.3863383086804108,0.24201013916127492
gemma4-e4b,a,8,400,0.5831730871085382,0.3563422385842327,0.2970539014656919
gemma4-e4b,a,9,400,0.6305065606501175,0.403675712125812,0.25804954442119377
gemma4-e4b,a,10,400,0.5903546019976006,0.36352375347329496,0.24651003582083708
gemma4-e4b,a,11,400,0.5723925211765896,0.34556167265228394,0.1304438188991524
gemma4-e4b,a,12,400,0.6120316938222651,0.3852008452979595,0.21116798027807177
gemma4-e4b,a,13,400,0.5825690092154727,0.35573816069116715,0.2150140281413255
gemma4-e4b,a,14,400,0.5775737729435962,0.3507429244192907,0.2106765354232687
gemma4-e4b,a,15,400,0.5805396931462941,0.3537088446219884,0.2126214546827449
gemma4-e4b,a,16,400,0.5923239396390823,0.3654930911147766,0.23160430189416084
gemma4-e4b,a,17,400,0.2681203783125602,0.04128952978825463,0.20714684229148272
gemma4-e4b,a,18,400,0.5684081353841478,0.34157728685984223,0.21553201067600747
gemma4-e4b,a,19,400,0.5664810878406444,0.33965023931633886,0.21314596016870296
gemma4-e4b,a,20,400,0.6104522394687559,0.38362139094445036,0.23889888552057129
gemma4-e4b,a,21,400,0.5712092090068704,0.34437836048256487,0.22778962252019652
gemma4-e4b,a,22,400,0.5681626041765894,0.34133175565228385,0.20923937129299133
gemma4-e4b,a,23,400,0.19886645069978637,-0.02796439782451919,0.15161853826433067
gemma4-e4b,a,24,400,0.548719272829045,0.32188842430473946,0.20362331779070497
gemma4-e4b,a,25,400,0.5552141920285304,0.3283833435042249,0.21474137697273965
gemma4-e4b,a,26,400,0.5407146851692484,0.31388383664494274,0.20130543385410454
gemma4-e4b,a,27,400,0.5394177530804165,0.31258690455611104,0.20232611980925513
gemma4-e4b,a,28,400,0.5379157228241036,0.3110848742997981,0.2061222531231348
gemma4-e4b,a,29,400,0.18148294010219385,-0.04534790842211169,0.18443117050713909
gemma4-e4b,a,30,400,0.5176821865564877,0.2908513380321821,0.21028181694222325
gemma4-e4b,a,31,400,0.487768182960927,0.2609373344366214,0.21961502467352323
gemma4-e4b,a,32,400,0.5155126602073595,0.28868181168305396,0.21800962201951152
gemma4-e4b,a,33,400,0.5179178410564216,0.291086992532116,0.21951025050822295
gemma4-e4b,a,34,400,0.5249318179168745,0.2981009693925689,0.21432001298738587
gemma4-e4b,a,35,400,0.1883799644545854,-0.03845088406972016,0.19546899663723763
gemma4-e4b,a,36,400,0.5012834113175749,0.2744525627932693,0.22539374562187459
gemma4-e4b,a,37,400,0.49372224962637296,0.2668914011020674,0.2298000391256905
gemma4-e4b,a,38,400,0.5132814932557652,0.2864506447314597,0.22026596867319845
gemma4-e4b,a,39,400,0.5266976477646284,0.2998667992403228,0.21794689845851425
gemma4-e4b,a,40,400,0.5273686105432932,0.3005377620189877,0.21909310920752334
gemma4-e4b,a,41,400,0.21569504426934955,-0.01113580425495601,0.14947437000977362
llava-1.5-7b,a,0,400,0.2536431721381335,0.026812323613827918,0.11892131622219207
llava-1.5-7b,a,1,400,0.27696509287215937,0.05013424434785379,0.11795802589083745
llava-1.5-7b,a,2,400,0.2304910963264436,0.0036602478021380363,0.21901005754083605
llava-1.5-7b,a,3,400,0.2240791699915454,-0.002751678532760137,0.2411019611428362
llava-1.5-7b,a,4,400,0.23089109572521757,0.004060247200912017,0.23991789330811755
llava-1.5-7b,a,5,400,0.25013157666141056,0.02330072813710499,0.21565955074625698
llava-1.5-7b,a,6,400,0.3196977148066413,0.09286686628233572,0.20202522440917464
llava-1.5-7b,a,7,400,0.4681572751989825,0.24132642667467694,0.15413442186496287
llava-1.5-7b,a,8,400,0.4045968906443578,0.1777660421200522,0.14862316112507948
llava-1.5-7b,a,9,400,0.4370417501643687,0.21021090164006317,0.13893941391157538
llava-1.5-7b,a,10,400,0.4062963264037034,0.17946547787939782,0.14055071706152186
llava-1.5-7b,a,11,400,0.2817239154857311,0.05489306696142554,0.14945424840793436
llava-1.5-7b,a,12,400,0.31308226248522325,0.08625141396091768,0.15468306517318728
llava-1.5-7b,a,13,400,0.32920771543610067,0.1023768669117951,0.1483360672534366
llava-1.5-7b,a,14,400,0.30724491569024814,0.08041406716594256,0.16323996821638379
llava-1.5-7b,a,15,400,0.32030772360303866,0.0934768750787331,0.15280394161529287
llava-1.5-7b,a,16,400,0.3206685286752242,0.09383768015091867,0.1496148425067568
llava-1.5-7b,a,17,400,0.27682985296776497,0.049999004443459415,0.16464955885429464
llava-1.5-7b,a,18,400,0.257248326977143,0.030417478452837435,0.17046101244327286
llava-1.5-7b,a,19,400,0.32725009606674954,0.100419247542444,0.1666863673177635
llava-1.5-7b,a,20,400,0.2664985722438724,0.03966772371956689,0.1552745305816927
llava-1.5-7b,a,21,400,0.2983325953729906,0.0715017468486851,0.18510970528929194
llava-1.5-7b,a,22,400,0.23445633039476352,0.007625481870457961,0.16610402148418862
llava-1.5-7b,a,23,400,0.23929164043904647,0.012460791914740888,0.15432420395941532
llava-1.5-7b,a,24,400,0.2741888082017041,0.04735795967739851,0.17791693427459215
llava-1.5-7b,a,25,400,0.27303626104310325,0.0462054125187977,0.175483111116587
llava-1.5-7b,a,26,400,0.23586359672728233,0.009032748202976783,0.15054344317654395
llava-1.5-7b,a,27,400,0.23952231034522942,0.01269146182092385,0.16581635856816357
llava-1.5-7b,a,28,400,0.235373151055019,0.008542302530713452,0.15275274029807936
llava-1.5-7b,a,29,400,0.28366131090585095,0.05683046238154536,0.137157909946685
llava-1.5-7b,a,30,400,0.21181655879363143,-0.015014289730674155,0.13397931226656595
llava-1.5-7b,a,31,400,0.2107751111997476,-0.01605573732455796,0.12857709079693092
