experiment,dataset,model,cond_class,stratum,proxy,quartile,n,n_pb_ne_anchor,n_numeric_anchor,adopt_rate,direction_follow_rate,exact_match_b_in_quartile
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S1,softmax_top1_prob,Q1,246,158,246,0.0,0.0,0.9186991869918699
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S1,softmax_top1_prob,Q2,246,156,246,0.019230769230769232,0.024390243902439025,0.8008130081300813
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S1,softmax_top1_prob,Q3,246,166,246,0.09036144578313253,0.10569105691056911,0.5121951219512195
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S1,softmax_top1_prob,Q4,246,171,244,0.11695906432748537,0.15163934426229508,0.4268292682926829
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S1,top1_minus_top2_margin,Q1,250,181,249,0.03314917127071823,0.0642570281124498,0.592
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S1,top1_minus_top2_margin,Q2,250,178,249,0.056179775280898875,0.07630522088353414,0.592
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S1,top1_minus_top2_margin,Q3,250,165,250,0.08484848484848485,0.096,0.616
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S1,top1_minus_top2_margin,Q4,250,143,250,0.07692307692307693,0.068,0.816
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S1,entropy_top_k,Q1,250,158,250,0.0,0.0,0.94
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S1,entropy_top_k,Q2,250,164,250,0.054878048780487805,0.068,0.752
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S1,entropy_top_k,Q3,250,156,250,0.08974358974358974,0.092,0.552
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S1,entropy_top_k,Q4,250,189,248,0.09523809523809523,0.14516129032258066,0.372
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S2,softmax_top1_prob,Q1,246,245,246,0.0,0.0040650406504065045,0.9186991869918699
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S2,softmax_top1_prob,Q2,246,243,246,0.0,0.008130081300813009,0.8008130081300813
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S2,softmax_top1_prob,Q3,246,243,246,0.00823045267489712,0.1016260162601626,0.5121951219512195
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S2,softmax_top1_prob,Q4,246,238,244,0.012605042016806723,0.13524590163934427,0.4268292682926829
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S2,top1_minus_top2_margin,Q1,250,246,249,0.0,0.028112449799196786,0.592
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S2,top1_minus_top2_margin,Q2,250,245,249,0.004081632653061225,0.04819277108433735,0.592
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S2,top1_minus_top2_margin,Q3,250,243,250,0.00411522633744856,0.076,0.616
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S2,top1_minus_top2_margin,Q4,250,249,250,0.012048192771084338,0.108,0.816
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S2,entropy_top_k,Q1,250,249,250,0.0,0.004,0.94
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S2,entropy_top_k,Q2,250,247,250,0.012145748987854251,0.052,0.752
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S2,entropy_top_k,Q3,250,246,250,0.0040650406504065045,0.096,0.552
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S2,entropy_top_k,Q4,250,241,248,0.004149377593360996,0.10887096774193548,0.372
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S3,softmax_top1_prob,Q1,246,246,246,0.0,0.0,0.9186991869918699
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S3,softmax_top1_prob,Q2,246,246,246,0.0,0.008130081300813009,0.8008130081300813
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S3,softmax_top1_prob,Q3,246,246,246,0.0,0.044715447154471545,0.5121951219512195
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S3,softmax_top1_prob,Q4,246,246,244,0.008130081300813009,0.11065573770491803,0.4268292682926829
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S3,top1_minus_top2_margin,Q1,250,250,249,0.0,0.024096385542168676,0.592
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S3,top1_minus_top2_margin,Q2,250,248,249,0.0,0.020080321285140562,0.592
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S3,top1_minus_top2_margin,Q3,250,250,250,0.0,0.028,0.616
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S3,top1_minus_top2_margin,Q4,250,250,250,0.008,0.1,0.816
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S3,entropy_top_k,Q1,250,250,250,0.0,0.0,0.94
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S3,entropy_top_k,Q2,250,250,250,0.008,0.056,0.752
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S3,entropy_top_k,Q3,250,250,250,0.0,0.064,0.552
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S3,entropy_top_k,Q4,250,248,248,0.0,0.05241935483870968,0.372
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S4,softmax_top1_prob,Q1,246,246,246,0.0,0.0040650406504065045,0.9186991869918699
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S4,softmax_top1_prob,Q2,246,246,246,0.0,0.02032520325203252,0.8008130081300813
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S4,softmax_top1_prob,Q3,246,246,246,0.0,0.052845528455284556,0.5121951219512195
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S4,softmax_top1_prob,Q4,246,246,244,0.0,0.12295081967213115,0.4268292682926829
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S4,top1_minus_top2_margin,Q1,250,250,249,0.0,0.028112449799196786,0.592
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S4,top1_minus_top2_margin,Q2,250,250,249,0.0,0.020080321285140562,0.592
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S4,top1_minus_top2_margin,Q3,250,250,250,0.0,0.04,0.616
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S4,top1_minus_top2_margin,Q4,250,250,250,0.0,0.108,0.816
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S4,entropy_top_k,Q1,250,250,250,0.0,0.008,0.94
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S4,entropy_top_k,Q2,250,250,250,0.0,0.068,0.752
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S4,entropy_top_k,Q3,250,250,250,0.0,0.072,0.552
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S4,entropy_top_k,Q4,250,250,248,0.0,0.04838709677419355,0.372
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S5,softmax_top1_prob,Q1,246,246,246,0.0,0.008130081300813009,0.9186991869918699
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S5,softmax_top1_prob,Q2,246,246,245,0.0,0.02040816326530612,0.8008130081300813
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S5,softmax_top1_prob,Q3,246,246,246,0.0,0.036585365853658534,0.5121951219512195
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S5,softmax_top1_prob,Q4,246,246,246,0.0,0.12195121951219512,0.4268292682926829
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S5,top1_minus_top2_margin,Q1,250,250,250,0.0,0.04,0.592
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S5,top1_minus_top2_margin,Q2,250,250,250,0.0,0.012,0.592
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S5,top1_minus_top2_margin,Q3,250,250,250,0.0,0.048,0.616
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S5,top1_minus_top2_margin,Q4,250,250,249,0.0,0.08433734939759036,0.816
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S5,entropy_top_k,Q1,250,250,250,0.0,0.008,0.94
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S5,entropy_top_k,Q2,250,250,249,0.0,0.05622489959839357,0.752
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S5,entropy_top_k,Q3,250,250,250,0.0,0.068,0.552
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S5,entropy_top_k,Q4,250,250,250,0.0,0.052,0.372
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S1,softmax_top1_prob,Q1,243,159,243,0.031446540880503145,0.0205761316872428,0.9259259259259259
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S1,softmax_top1_prob,Q2,243,155,243,0.05161290322580645,0.04526748971193416,0.720164609053498
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S1,softmax_top1_prob,Q3,243,167,242,0.17964071856287425,0.15702479338842976,0.49382716049382713
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S1,softmax_top1_prob,Q4,243,190,242,0.15263157894736842,0.19834710743801653,0.3168724279835391
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S1,top1_minus_top2_margin,Q1,250,183,250,0.07103825136612021,0.068,0.556
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S1,top1_minus_top2_margin,Q2,250,171,250,0.10526315789473684,0.108,0.576
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S1,top1_minus_top2_margin,Q3,250,165,250,0.1393939393939394,0.128,0.628
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S1,top1_minus_top2_margin,Q4,250,180,247,0.14444444444444443,0.14979757085020243,0.644
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S1,entropy_top_k,Q1,250,164,250,0.04878048780487805,0.036,0.924
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S1,entropy_top_k,Q2,250,163,250,0.07975460122699386,0.092,0.724
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S1,entropy_top_k,Q3,250,183,249,0.1366120218579235,0.14859437751004015,0.42
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S1,entropy_top_k,Q4,250,189,248,0.17989417989417988,0.1774193548387097,0.336
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S2,softmax_top1_prob,Q1,243,243,243,0.00823045267489712,0.01646090534979424,0.9259259259259259
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S2,softmax_top1_prob,Q2,243,241,243,0.016597510373443983,0.03292181069958848,0.720164609053498
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S2,softmax_top1_prob,Q3,243,238,242,0.025210084033613446,0.1322314049586777,0.49382716049382713
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S2,softmax_top1_prob,Q4,243,229,242,0.048034934497816595,0.18181818181818182,0.3168724279835391
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S2,top1_minus_top2_margin,Q1,250,243,250,0.012345679012345678,0.056,0.556
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S2,top1_minus_top2_margin,Q2,250,244,250,0.01639344262295082,0.096,0.576
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S2,top1_minus_top2_margin,Q3,250,246,250,0.028455284552845527,0.1,0.628
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S2,top1_minus_top2_margin,Q4,250,244,248,0.05737704918032787,0.14919354838709678,0.644
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S2,entropy_top_k,Q1,250,249,250,0.01606425702811245,0.024,0.924
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S2,entropy_top_k,Q2,250,247,250,0.02834008097165992,0.096,0.724
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S2,entropy_top_k,Q3,250,243,249,0.024691358024691357,0.11646586345381527,0.42
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S2,entropy_top_k,Q4,250,238,249,0.046218487394957986,0.1646586345381526,0.336
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S3,softmax_top1_prob,Q1,243,243,243,0.01646090534979424,0.0205761316872428,0.9259259259259259
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S3,softmax_top1_prob,Q2,243,243,243,0.012345679012345678,0.01646090534979424,0.720164609053498
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S3,softmax_top1_prob,Q3,243,243,242,0.00823045267489712,0.0743801652892562,0.49382716049382713
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S3,softmax_top1_prob,Q4,243,243,241,0.012345679012345678,0.12448132780082988,0.3168724279835391
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S3,top1_minus_top2_margin,Q1,250,250,250,0.004,0.024,0.556
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S3,top1_minus_top2_margin,Q2,250,250,250,0.016,0.048,0.576
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S3,top1_minus_top2_margin,Q3,250,250,250,0.02,0.06,0.628
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S3,top1_minus_top2_margin,Q4,250,250,247,0.024,0.12550607287449392,0.644
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S3,entropy_top_k,Q1,250,250,250,0.024,0.032,0.924
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S3,entropy_top_k,Q2,250,250,250,0.008,0.056,0.724
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S3,entropy_top_k,Q3,250,250,249,0.004,0.08433734939759036,0.42
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S3,entropy_top_k,Q4,250,250,248,0.028,0.0846774193548387,0.336
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S4,softmax_top1_prob,Q1,243,243,243,0.012345679012345678,0.0205761316872428,0.9259259259259259
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S4,softmax_top1_prob,Q2,243,243,243,0.00411522633744856,0.02880658436213992,0.720164609053498
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S4,softmax_top1_prob,Q3,243,243,242,0.00823045267489712,0.09917355371900827,0.49382716049382713
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S4,softmax_top1_prob,Q4,243,243,241,0.00823045267489712,0.14522821576763487,0.3168724279835391
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S4,top1_minus_top2_margin,Q1,250,250,250,0.004,0.036,0.556
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S4,top1_minus_top2_margin,Q2,250,250,250,0.016,0.06,0.576
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S4,top1_minus_top2_margin,Q3,250,250,250,0.02,0.096,0.628
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S4,top1_minus_top2_margin,Q4,250,250,247,0.016,0.1214574898785425,0.644
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S4,entropy_top_k,Q1,250,250,250,0.016,0.032,0.924
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S4,entropy_top_k,Q2,250,250,250,0.0,0.068,0.724
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S4,entropy_top_k,Q3,250,250,249,0.004,0.0963855421686747,0.42
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S4,entropy_top_k,Q4,250,250,248,0.036,0.11693548387096774,0.336
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S5,softmax_top1_prob,Q1,243,243,243,0.00823045267489712,0.01646090534979424,0.9259259259259259
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S5,softmax_top1_prob,Q2,243,243,243,0.00411522633744856,0.012345679012345678,0.720164609053498
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S5,softmax_top1_prob,Q3,243,243,243,0.00411522633744856,0.06995884773662552,0.49382716049382713
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S5,softmax_top1_prob,Q4,243,243,241,0.00823045267489712,0.12448132780082988,0.3168724279835391
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S5,top1_minus_top2_margin,Q1,250,250,250,0.008,0.032,0.556
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S5,top1_minus_top2_margin,Q2,250,250,250,0.012,0.048,0.576
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S5,top1_minus_top2_margin,Q3,250,250,250,0.008,0.06,0.628
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S5,top1_minus_top2_margin,Q4,250,250,248,0.008,0.10080645161290322,0.644
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S5,entropy_top_k,Q1,250,250,250,0.012,0.028,0.924
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S5,entropy_top_k,Q2,250,250,250,0.0,0.052,0.724
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S5,entropy_top_k,Q3,250,250,250,0.004,0.084,0.42
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S5,entropy_top_k,Q4,250,250,248,0.02,0.07661290322580645,0.336
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S1,softmax_top1_prob,Q1,246,173,246,0.0,0.0,0.9186991869918699
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S1,softmax_top1_prob,Q2,246,155,246,0.03225806451612903,0.032520325203252036,0.8008130081300813
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S1,softmax_top1_prob,Q3,246,179,246,0.0670391061452514,0.1016260162601626,0.5121951219512195
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S1,softmax_top1_prob,Q4,246,171,244,0.18128654970760233,0.18442622950819673,0.4268292682926829
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S1,top1_minus_top2_margin,Q1,250,185,249,0.05405405405405406,0.07630522088353414,0.588
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S1,top1_minus_top2_margin,Q2,250,175,249,0.05714285714285714,0.07228915662650602,0.596
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S1,top1_minus_top2_margin,Q3,250,172,250,0.06976744186046512,0.092,0.612
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S1,top1_minus_top2_margin,Q4,250,162,250,0.1111111111111111,0.104,0.82
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S1,entropy_top_k,Q1,250,175,250,0.005714285714285714,0.004,0.94
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S1,entropy_top_k,Q2,250,158,250,0.0759493670886076,0.06,0.752
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S1,entropy_top_k,Q3,250,178,250,0.08426966292134831,0.104,0.552
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S1,entropy_top_k,Q4,250,183,248,0.12021857923497267,0.1774193548387097,0.372
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S2,softmax_top1_prob,Q1,246,246,246,0.0,0.0040650406504065045,0.9186991869918699
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S2,softmax_top1_prob,Q2,246,244,246,0.0,0.016260162601626018,0.8008130081300813
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S2,softmax_top1_prob,Q3,246,241,246,0.012448132780082987,0.09349593495934959,0.5121951219512195
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S2,softmax_top1_prob,Q4,246,238,244,0.02100840336134454,0.1598360655737705,0.4268292682926829
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S2,top1_minus_top2_margin,Q1,250,246,249,0.008130081300813009,0.06827309236947791,0.588
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S2,top1_minus_top2_margin,Q2,250,246,249,0.008130081300813009,0.06827309236947791,0.596
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S2,top1_minus_top2_margin,Q3,250,244,250,0.004098360655737705,0.068,0.612
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S2,top1_minus_top2_margin,Q4,250,246,250,0.016260162601626018,0.084,0.82
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S2,entropy_top_k,Q1,250,250,250,0.0,0.004,0.94
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S2,entropy_top_k,Q2,250,245,250,0.004081632653061225,0.044,0.752
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S2,entropy_top_k,Q3,250,247,250,0.012145748987854251,0.092,0.552
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S2,entropy_top_k,Q4,250,240,248,0.020833333333333332,0.14919354838709678,0.372
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S3,softmax_top1_prob,Q1,246,246,246,0.0,0.0040650406504065045,0.9186991869918699
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S3,softmax_top1_prob,Q2,246,246,246,0.0,0.008130081300813009,0.8008130081300813
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S3,softmax_top1_prob,Q3,246,246,246,0.0,0.04065040650406504,0.5121951219512195
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S3,softmax_top1_prob,Q4,246,246,244,0.0,0.11885245901639344,0.4268292682926829
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S3,top1_minus_top2_margin,Q1,250,249,249,0.0,0.0321285140562249,0.588
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S3,top1_minus_top2_margin,Q2,250,250,249,0.0,0.01606425702811245,0.596
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S3,top1_minus_top2_margin,Q3,250,250,250,0.0,0.036,0.612
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S3,top1_minus_top2_margin,Q4,250,250,250,0.0,0.084,0.82
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S3,entropy_top_k,Q1,250,250,250,0.0,0.004,0.94
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S3,entropy_top_k,Q2,250,250,250,0.0,0.052,0.752
