experiment,dataset,model,cond_class,stratum,base_correct,A_raw__D_all_num,A_raw__D_all_den,A_raw__D_paired_num,A_raw__D_paired_den,A_raw__D_clean_num,A_raw__D_clean_den,A_paired__D_all_num,A_paired__D_all_den,A_paired__D_paired_num,A_paired__D_paired_den,A_paired__D_clean_num,A_paired__D_clean_den,A_clean__D_all_num,A_clean__D_all_den,A_clean__D_paired_num,A_clean__D_paired_den,A_clean__D_clean_num,A_clean__D_clean_den,DF_raw__DD_all_num,DF_raw__DD_all_den,DF_raw__DD_moved_num,DF_raw__DD_moved_den,DF_raw__DD_clean_num,DF_raw__DD_clean_den,DF_moved__DD_all_num,DF_moved__DD_all_den,DF_moved__DD_moved_num,DF_moved__DD_moved_den,DF_moved__DD_clean_num,DF_moved__DD_clean_den,DF_clean__DD_all_num,DF_clean__DD_all_den,DF_clean__DD_moved_num,DF_clean__DD_moved_den,DF_clean__DD_clean_num,DF_clean__DD_clean_den,n_pairs
experiment,VQAv2,gemma3-27b-it,a,S0,all,2492,17730,839,15846,628,14807,839,17730,839,15846,628,14807,628,17730,628,15846,628,14807,2964,17730,2964,4040,2634,3554,2964,17730,2964,4040,2634,3554,2634,17730,2634,4040,2634,3554,17730
experiment,VQAv2,gemma3-27b-it,a,S0,correct,1103,8611,206,7644,206,7644,206,8611,206,7644,206,7644,206,8611,206,7644,206,7644,724,8611,724,1006,724,936,724,8611,724,1006,724,936,724,8611,724,1006,724,936,8611
experiment,VQAv2,gemma3-27b-it,a,S0,wrong,1389,9119,633,8202,422,7163,633,9119,633,8202,422,7163,422,9119,422,8202,422,7163,2240,9119,2240,3034,1910,2618,2240,9119,2240,3034,1910,2618,1910,9119,1910,3034,1910,2618,9119
experiment,VQAv2,gemma3-27b-it,d,S0,all,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17730
experiment,VQAv2,gemma3-27b-it,d,S0,correct,0,8611,0,8611,0,8611,0,8611,0,8611,0,8611,0,8611,0,8611,0,8611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8611
experiment,VQAv2,gemma3-27b-it,d,S0,wrong,0,9119,0,9119,0,9119,0,9119,0,9119,0,9119,0,9119,0,9119,0,9119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9119
experiment,VQAv2,gemma4-31b-it,a,S0,all,2058,17730,388,15815,284,14997,388,17730,388,15815,284,14997,284,17730,284,15815,284,14997,1502,17699,1502,2622,1345,2328,1502,17699,1502,2622,1345,2328,1345,17699,1345,2622,1345,2328,17730
experiment,VQAv2,gemma4-31b-it,a,S0,correct,1249,10644,138,9456,138,9456,138,10644,138,9456,138,9456,138,10644,138,9456,138,9456,521,10644,521,875,521,798,521,10644,521,875,521,798,521,10644,521,875,521,798,10644
experiment,VQAv2,gemma4-31b-it,a,S0,wrong,798,7056,239,6329,136,5514,239,7056,239,6329,136,5514,136,7056,136,6329,136,5514,981,7055,981,1747,824,1530,981,7055,981,1747,824,1530,824,7055,824,1747,824,1530,7056
experiment,VQAv2,gemma4-31b-it,d,S0,all,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17730
experiment,VQAv2,gemma4-31b-it,d,S0,correct,0,10644,0,10644,0,10644,0,10644,0,10644,0,10644,0,10644,0,10644,0,10644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10644
experiment,VQAv2,gemma4-31b-it,d,S0,wrong,0,7056,0,7056,0,7056,0,7056,0,7056,0,7056,0,7056,0,7056,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7056
experiment,VQAv2,gemma4-e4b,a,S0,all,2180,17730,1049,15939,836,14815,1049,17730,1049,15939,836,14815,836,17730,836,15939,836,14815,4851,17730,4851,7776,4379,6924,4851,17730,4851,7776,4379,6924,4379,17730,4379,7776,4379,6924,17730
experiment,VQAv2,gemma4-e4b,a,S0,correct,979,7570,295,6688,295,6688,295,7570,295,6688,295,6688,295,7570,295,6688,295,6688,1108,7570,1108,1964,1108,1766,1108,7570,1108,1964,1108,1766,1108,7570,1108,1964,1108,1766,7570
experiment,VQAv2,gemma4-e4b,a,S0,wrong,1201,10160,754,9251,541,8127,754,10160,754,9251,541,8127,541,10160,541,9251,541,8127,3743,10160,3743,5812,3271,5158,3743,10160,3743,5812,3271,5158,3271,10160,3271,5812,3271,5158,10160
experiment,VQAv2,gemma4-e4b,d,S0,all,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17730
experiment,VQAv2,gemma4-e4b,d,S0,correct,0,7570,0,7570,0,7570,0,7570,0,7570,0,7570,0,7570,0,7570,0,7570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7570
experiment,VQAv2,gemma4-e4b,d,S0,wrong,0,10160,0,10160,0,10160,0,10160,0,10160,0,10160,0,10160,0,10160,0,10160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10160
experiment,VQAv2,llava-next-interleaved-7b,a,S0,all,2369,17730,847,15883,735,14844,847,17730,847,15883,735,14844,735,17730,735,15883,735,14844,3046,17683,3046,4396,2837,3943,3046,17683,3046,4396,2837,3943,2837,17683,2837,4396,2837,3943,17730
experiment,VQAv2,llava-next-interleaved-7b,a,S0,correct,1204,8420,361,7453,361,7453,361,8420,361,7453,361,7453,361,8420,361,7453,361,7453,1106,8419,1106,1572,1106,1449,1106,8419,1106,1572,1106,1449,1106,8419,1106,1572,1106,1449,8420
experiment,VQAv2,llava-next-interleaved-7b,a,S0,wrong,1154,9270,475,8390,363,7357,475,9270,475,8390,363,7357,363,9270,363,8390,363,7357,1940,9264,1940,2824,1731,2494,1940,9264,1940,2824,1731,2494,1731,9264,1731,2824,1731,2494,9270
experiment,VQAv2,llava-next-interleaved-7b,d,S0,all,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17730
experiment,VQAv2,llava-next-interleaved-7b,d,S0,correct,0,8420,0,8420,0,8420,0,8420,0,8420,0,8420,0,8420,0,8420,0,8420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8420
experiment,VQAv2,llava-next-interleaved-7b,d,S0,wrong,0,9270,0,9270,0,9270,0,9270,0,9270,0,9270,0,9270,0,9270,0,9270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9270
experiment,VQAv2,qwen2.5-vl-7b-instruct,a,S0,all,1942,17745,329,15853,262,15045,329,17745,329,15853,262,15045,262,17745,262,15853,262,15045,1667,17745,1667,2739,1555,2444,1667,17745,1667,2739,1555,2444,1555,17745,1555,2739,1555,2444,17745
experiment,VQAv2,qwen2.5-vl-7b-instruct,a,S0,correct,1217,10510,142,9312,142,9312,142,10510,142,9312,142,9312,142,10510,142,9312,142,9312,673,10510,673,1102,673,979,673,10510,673,1102,673,979,673,10510,673,1102,673,979,10510
experiment,VQAv2,qwen2.5-vl-7b-instruct,a,S0,wrong,725,7235,187,6541,120,5733,187,7235,187,6541,120,5733,120,7235,120,6541,120,5733,994,7235,994,1637,882,1465,994,7235,994,1637,882,1465,882,7235,882,1637,882,1465,7235
experiment,VQAv2,qwen2.5-vl-7b-instruct,d,S0,all,0,17745,0,17745,0,17745,0,17745,0,17745,0,17745,0,17745,0,17745,0,17745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17745
experiment,VQAv2,qwen2.5-vl-7b-instruct,d,S0,correct,0,10510,0,10510,0,10510,0,10510,0,10510,0,10510,0,10510,0,10510,0,10510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10510
experiment,VQAv2,qwen2.5-vl-7b-instruct,d,S0,wrong,0,7235,0,7235,0,7235,0,7235,0,7235,0,7235,0,7235,0,7235,0,7235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7235
experiment,VQAv2,qwen3-vl-30b-it,a,S0,all,2125,17730,611,15762,482,14993,611,17730,611,15762,482,14993,482,17730,482,15762,482,14993,3004,17722,3004,4652,2814,4132,3004,17722,3004,4652,2814,4132,2814,17722,2814,4652,2814,4132,17730
experiment,VQAv2,qwen3-vl-30b-it,a,S0,correct,1281,10862,252,9625,252,9625,252,10862,252,9625,252,9625,252,10862,252,9625,252,9625,1298,10854,1298,1980,1298,1773,1298,10854,1298,1980,1298,1773,1298,10854,1298,1980,1298,1773,10862
experiment,VQAv2,qwen3-vl-30b-it,a,S0,wrong,844,6868,359,6137,230,5368,359,6868,359,6137,230,5368,230,6868,230,6137,230,5368,1706,6868,1706,2672,1516,2359,1706,6868,1706,2672,1516,2359,1516,6868,1516,2672,1516,2359,6868
experiment,VQAv2,qwen3-vl-30b-it,d,S0,all,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17730
experiment,VQAv2,qwen3-vl-30b-it,d,S0,correct,0,10862,0,10862,0,10862,0,10862,0,10862,0,10862,0,10862,0,10862,0,10862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10862
experiment,VQAv2,qwen3-vl-30b-it,d,S0,wrong,0,6868,0,6868,0,6868,0,6868,0,6868,0,6868,0,6868,0,6868,0,6868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6868
experiment,VQAv2,qwen3-vl-8b-instruct,a,S0,all,2260,17730,521,15789,424,15019,521,17730,521,15789,424,15019,424,17730,424,15789,424,15019,1849,17730,1849,2771,1724,2484,1849,17730,1849,2771,1724,2484,1724,17730,1724,2771,1724,2484,17730
experiment,VQAv2,qwen3-vl-8b-instruct,a,S0,correct,1353,10747,205,9511,205,9511,205,10747,205,9511,205,9511,205,10747,205,9511,205,9511,765,10747,765,1130,765,1042,765,10747,765,1130,765,1042,765,10747,765,1130,765,1042,10747
experiment,VQAv2,qwen3-vl-8b-instruct,a,S0,wrong,907,6983,316,6278,219,5508,316,6983,316,6278,219,5508,219,6983,219,6278,219,5508,1084,6983,1084,1641,959,1442,1084,6983,1084,1641,959,1442,959,6983,959,1641,959,1442,6983
experiment,VQAv2,qwen3-vl-8b-instruct,d,S0,all,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17730
experiment,VQAv2,qwen3-vl-8b-instruct,d,S0,correct,0,10747,0,10747,0,10747,0,10747,0,10747,0,10747,0,10747,0,10747,0,10747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10747
experiment,VQAv2,qwen3-vl-8b-instruct,d,S0,wrong,0,6983,0,6983,0,6983,0,6983,0,6983,0,6983,0,6983,0,6983,0,6983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6983
experiment_anchor_strengthen_prompt,VQAv2,gemma3-27b-it,a,S0,all,11144,35460,7620,31754,6438,29658,7620,35460,7620,31754,6438,29658,6438,35460,6438,31754,6438,29658,11385,35460,11385,13298,10075,11800,11385,35460,11385,13298,10075,11800,10075,35460,10075,13298,10075,11800,35460
experiment_anchor_strengthen_prompt,VQAv2,gemma3-27b-it,a,S0,correct,4444,17000,2610,15084,2610,15084,2610,17000,2610,15084,2610,15084,2610,17000,2610,15084,2610,15084,3778,17000,3778,4374,3778,4292,3778,17000,3778,4374,3778,4292,3778,17000,3778,4374,3778,4292,17000
experiment_anchor_strengthen_prompt,VQAv2,gemma3-27b-it,a,S0,wrong,6700,18460,5010,16670,3828,14574,5010,18460,5010,16670,3828,14574,3828,18460,3828,16670,3828,14574,7607,18460,7607,8924,6297,7508,7607,18460,7607,8924,6297,7508,6297,18460,6297,8924,6297,7508,18460
experiment_anchor_strengthen_prompt,VQAv2,gemma3-27b-it,d,S0,all,0,35460,0,35460,0,35460,0,35460,0,35460,0,35460,0,35460,0,35460,0,35460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35460
experiment_anchor_strengthen_prompt,VQAv2,gemma3-27b-it,d,S0,correct,0,17000,0,17000,0,17000,0,17000,0,17000,0,17000,0,17000,0,17000,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000
experiment_anchor_strengthen_prompt,VQAv2,gemma3-27b-it,d,S0,wrong,0,18460,0,18460,0,18460,0,18460,0,18460,0,18460,0,18460,0,18460,0,18460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18460
experiment_anchor_strengthen_prompt,VQAv2,gemma4-31b-it,a,S0,all,2163,17730,615,15855,466,15010,615,17730,615,15855,466,15010,466,17730,466,15855,466,15010,2523,17720,2523,3939,2285,3496,2523,17720,2523,3939,2285,3496,2285,17720,2285,3939,2285,3496,17730
experiment_anchor_strengthen_prompt,VQAv2,gemma4-31b-it,a,S0,correct,1230,10425,177,9264,177,9264,177,10425,177,9264,177,9264,177,10425,177,9264,177,9264,716,10425,716,1163,716,1055,716,10425,716,1163,716,1055,716,10425,716,1163,716,1055,10425
experiment_anchor_strengthen_prompt,VQAv2,gemma4-31b-it,a,S0,wrong,929,7295,434,6581,285,5737,434,7295,434,6581,285,5737,285,7295,285,6581,285,5737,1807,7295,1807,2776,1569,2441,1807,7295,1807,2776,1569,2441,1569,7295,1569,2776,1569,2441,7295
experiment_anchor_strengthen_prompt,VQAv2,gemma4-31b-it,d,S0,all,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17730
experiment_anchor_strengthen_prompt,VQAv2,gemma4-31b-it,d,S0,correct,0,10425,0,10425,0,10425,0,10425,0,10425,0,10425,0,10425,0,10425,0,10425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10425
experiment_anchor_strengthen_prompt,VQAv2,gemma4-31b-it,d,S0,wrong,0,7295,0,7295,0,7295,0,7295,0,7295,0,7295,0,7295,0,7295,0,7295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7295
experiment_anchor_strengthen_prompt,VQAv2,gemma4-e4b,a,S0,all,2225,17730,1056,15896,809,14772,1056,17730,1056,15896,809,14772,809,17730,809,15896,809,14772,4583,17729,4583,7562,4111,6730,4583,17729,4583,7562,4111,6730,4111,17729,4111,7562,4111,6730,17730
experiment_anchor_strengthen_prompt,VQAv2,gemma4-e4b,a,S0,correct,981,7470,298,6588,298,6588,298,7470,298,6588,298,6588,298,7470,298,6588,298,6588,1105,7469,1105,1893,1105,1694,1105,7469,1105,1893,1105,1694,1105,7469,1105,1893,1105,1694,7470
experiment_anchor_strengthen_prompt,VQAv2,gemma4-e4b,a,S0,wrong,1244,10260,758,9308,511,8184,758,10260,758,9308,511,8184,511,10260,511,9308,511,8184,3478,10260,3478,5669,3006,5036,3478,10260,3478,5669,3006,5036,3006,10260,3006,5669,3006,5036,10260
experiment_anchor_strengthen_prompt,VQAv2,gemma4-e4b,d,S0,all,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17730
experiment_anchor_strengthen_prompt,VQAv2,gemma4-e4b,d,S0,correct,0,7470,0,7470,0,7470,0,7470,0,7470,0,7470,0,7470,0,7470,0,7470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7470
experiment_anchor_strengthen_prompt,VQAv2,gemma4-e4b,d,S0,wrong,0,10260,0,10260,0,10260,0,10260,0,10260,0,10260,0,10260,0,10260,0,10260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10260
experiment_anchor_strengthen_prompt,VQAv2,llava-next-interleaved-7b,a,S0,all,2298,17730,751,15927,637,14813,751,17730,751,15927,637,14813,637,17730,637,15927,637,14813,2592,17131,2592,3699,2427,3322,2592,17131,2592,3699,2427,3322,2427,17131,2427,3699,2427,3322,17730
experiment_anchor_strengthen_prompt,VQAv2,llava-next-interleaved-7b,a,S0,correct,1084,7794,292,6902,292,6902,292,7794,292,6902,292,6902,292,7794,292,6902,292,6902,991,7737,991,1335,991,1241,991,7737,991,1335,991,1241,991,7737,991,1335,991,1241,7794
experiment_anchor_strengthen_prompt,VQAv2,llava-next-interleaved-7b,a,S0,wrong,1151,9432,396,8521,299,7464,396,9432,396,8521,299,7464,299,9432,299,8521,299,7464,1601,9394,1601,2364,1436,2081,1601,9394,1601,2364,1436,2081,1436,9394,1436,2364,1436,2081,9432
experiment_anchor_strengthen_prompt,VQAv2,llava-next-interleaved-7b,d,S0,all,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17730
experiment_anchor_strengthen_prompt,VQAv2,llava-next-interleaved-7b,d,S0,correct,0,7794,0,7794,0,7794,0,7794,0,7794,0,7794,0,7794,0,7794,0,7794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7794
experiment_anchor_strengthen_prompt,VQAv2,llava-next-interleaved-7b,d,S0,wrong,0,9432,0,9432,0,9432,0,9432,0,9432,0,9432,0,9432,0,9432,0,9432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9432
experiment_anchor_strengthen_prompt,VQAv2,qwen2.5-vl-7b-instruct,a,S0,all,3906,35460,1020,31788,776,30254,1020,35460,1020,31788,776,30254,776,35460,776,31788,776,30254,5109,35460,5109,7846,4719,6942,5109,35460,5109,7846,4719,6942,4719,35460,4719,7846,4719,6942,35460
experiment_anchor_strengthen_prompt,VQAv2,qwen2.5-vl-7b-instruct,a,S0,correct,2502,21640,376,19162,376,19162,376,21640,376,19162,376,19162,376,21640,376,19162,376,19162,1668,21640,1668,2828,1668,2476,1668,21640,1668,2828,1668,2476,1668,21640,1668,2828,1668,2476,21640
experiment_anchor_strengthen_prompt,VQAv2,qwen2.5-vl-7b-instruct,a,S0,wrong,1404,13820,644,12626,400,11092,644,13820,644,12626,400,11092,400,13820,400,12626,400,11092,3441,13820,3441,5018,3051,4466,3441,13820,3441,5018,3051,4466,3051,13820,3051,5018,3051,4466,13820
